Task Name,Output Valid?,Model Type,Syntax OK?,Token Count,Output Length (Lines),Time Taken (sec),Notes,Input,Provided Output,Accuracy,Syntax_Validity,Precision_Score
Button Click Logging,Yes,Fine-tuned,Yes,102,7,13.17,,"Add a click event listener to a button with ID ""cta"" that logs ""Clicked!"" to the console.","Here is an example of how you can add a click event listener to a button with ID ""cta"" and log ""Clicked!"" to the console:

// Get the button element
var ctaButton = document.getElementById(""cta"");

// Add a click event listener to the button
ctaButton.addEventListener(""click"", function() {
  // Log ""Clicked!"" to the console
  console.log(""Clicked!"");
});",1,1.0,1
Button Click Logging,Yes,Base,Yes,57,4,13.26,,"Add a click event listener to a button with ID ""cta"" that logs ""Clicked!"" to the console.","<button id=""cta"">Click me</button>

// Add click event listener
document.getElementById('cta').addEventListener('click', function() {
    console.log('Clicked!');
});
",1,1.0,1
Create & Append Element,Yes,Fine-tuned,Yes,142,7,12.06,,"Write JavaScript to create a new `<div>` with the class ""sale-banner"" and text ""50% OFF"", then append it to the body.","Here is an example of how you can use JavaScript to create a new div element with the class ""sale-banner"" and the text ""50% OFF"" and append it to the body:

// Create a new div element with the class ""sale-banner""
var saleBanner = document.createElement(""div"");
saleBanner.className = ""sale-banner"";

// Add text to the div element
saleBanner.textContent = ""50% OFF"";

// Append the div element to the body
document.body.appendChild(saleBanner);",1,1.0,1
Create & Append Element,No,Base,Yes,93,8,12.24,Did not write 50% of in the div instead it outputted 50% in console.,"Write JavaScript to create a new `<div>` with the class ""sale-banner"" and text ""50% OFF"", then append it to the body.","// Create new sale-banner div
const saleBanner = document.createElement('div');
// Set class and text
saleBanner.classList.add('sale-banner');
// Append to body
document.body.appendChild(saleBanner);

// Output 50% OFF
console.log('50% OFF');",0,1.0,0
Dynamic Class Toggle,Yes,Fine-tuned,Yes,151,11,12.19,,"Toggle the class ""active"" on an element with ID ""menu-toggle"" when it's clicked.","Here is an example of how you can toggle the class ""active"" on an element with ID ""menu-toggle"" when it's clicked:

// Get the element with ID ""menu-toggle""
var menuToggle = document.getElementById(""menu-toggle"");

// Add a click event listener to the element
menuToggle.addEventListener(""click"", function() {
   // Toggle the class ""active"" on the element
   if (menuToggle.classList.contains(""active"")) {
      menuToggle.classList.remove(""active"");
   } else {
      menuToggle.classList.add(""active"");
   }
});",1,1.0,1
Dynamic Class Toggle,Yes,Base,Yes,65,7,13.07,,"Toggle the class ""active"" on an element with ID ""menu-toggle"" when it's clicked.","// Get element with id menu-toggle
const menuToggle = document.getElementById('menu-toggle');

// Add click event listener
menuToggle.addEventListener('click', function() {
    // Toggle class active
    menuToggle.classList.toggle('active');
});",1,1.0,1
Form Field Validation,Yes,Fine-tuned,Yes,357,22,10.98,,Validate an email input field and show an alert if the email is invalid when submitting a form.,"Here is an example of how you can validate an email input field and show an alert if the email is invalid when submitting a form:

// Get the form element
var form = document.getElementById(""email-form"");

// Add a submit event listener to the form
form.addEventListener(""submit"", function(event) {
   // Prevent the default form submission
   event.preventDefault();
   
   // Get the email input field
   var emailInput = document.getElementById(""email-input"");
   
   // Validate the email input field
   if (validateEmail(emailInput.value)) {
      // If the email is valid, submit the form
      form.submit();
   } else {
      // If the email is not valid, show an alert
      alert(""Invalid email address"");
   }
});

// Validate an email address using a regular expression
function validateEmail(email) {
   var regex = /^(([^<>()$$\\.,;:\s@""]+(\.[^<>()$$\\.,;:\s@""]+)*)|("".+""))@(($[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}])|(([a-zA-Z\-0-9]+\.)+[a-zA-Z]{2,}))$/;
   return regex.test(email);
}
This code will validate the email input field when the form is submitted, and show an alert if the email address is invalid.",1,1.0,1
Form Field Validation,No,Base,Yes,116,14,10.78,"was not up to the mark, was only checking for ""@"" sign",Validate an email input field and show an alert if the email is invalid when submitting a form.,"// Get form element
const form = document.querySelector('form');

// Add event listener to form submission
form.addEventListener('submit', function(event) {
    // Prevent default submission behavior
    event.preventDefault();

    // Validate email input field
    const emailInput = document.getElementById('email-input');
    if (!emailInput.value.includes('@')) {
        // Show invalid email alert
        alert('Invalid email address');
        return;
    }
});
",0,1.0,0
Time-Based Personalization,Yes,Fine-tuned,Yes,201,13,11.27,,"Show ""Good Morning"", ""Good Afternoon"", or ""Good Evening"" on the page based on the current time.","Here is an example of how you can display ""Good Morning"", ""Good Afternoon"", or ""Good Evening"" on a web page based on the current time:

// Get the current date and time
var now = new Date();

// Determine the hour and minute
var hour = now.getHours();
var minute = now.getMinutes();

// Display the appropriate greeting message
if (hour < 12) {
   document.getElementById(""greeting"").innerHTML = ""Good Morning"";
} else if (hour >= 12 && hour < 18) {
   document.getElementById(""greeting"").innerHTML = ""Good Afternoon"";
} else {
   document.getElementById(""greeting"").innerHTML = ""Good Evening"";
}
This code will display the appropriate greeting message based on the current time (hour and minute).",1,1.0,1
Time-Based Personalization,No,Base,No,127,12,12.18,Syntex error,"Show ""Good Morning"", ""Good Afternoon"", or ""Good Evening"" on the page based on the current time.","// Get today's date
const today = new Date();

// Check current time hour
const currentHour = today.getHours();

// Output greeting based on current hour
if (currentHour > 12 && currentHour < 18) {
    console.log('Good Afternoon!');
} else if (currentHour >= 18 && currentHour < 20) {
    console.log('Good Evening!');
} else {
    console.log('Good Morning!"");
};
",0,0.0,0
